id,question_rich_text,question_title,explanation,hint_text,question_text,difficulty
208,"Consider two transactions <img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/> and <img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/> , and the following schedule in which A and B are two records.<br>
<br>
<center><table style=""padding: 20px;text-align: center;width: 30%;"" border=""1"">

  <tr>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{1}"" border=""0""/></th>
    <th><center><img src=""http://latex.codecogs.com/gif.latex?T_{2}"" border=""0""/></th>
  </tr>
  <tr>
    <td> read(A) </td>
    <td> </td>
  </tr>
  <tr>
    <td> write(A) </td>
    <td> </td>
  </tr>
 <tr>
    <td> </td>
    <td> read(A) </td>
  </tr>
<tr>
    <td> </td>
    <td> write(A) </td>
  </tr>
<tr>
    <td> read(B) </td>
    <td>  </td>
  </tr>
<tr>
    <td>  </td>
    <td> commit </td>
  </tr>
<tr>
    <td> abort  </td>
    <td> </td>
  </tr>
</table></center>
<br>
Which of the following problems may occur in this schedule?",Q10-10,,,"Consider two transactions and , and the following schedule in which A and B are two records. read(A) write(A) read(A) write(A) read(B) commit abort Which of the following problems may occur in this schedule?",2
207,Which properties are ensured by the transaction manager through logging?,Q10-9,,,Which properties are ensured by the transaction manager through logging?,1
206,Which of the following are the advantages of concurrent transactions?,Q10-8,,,Which of the following are the advantages of concurrent transactions?,2
205,"Which of the following problems occurs when a transaction re-reads a table and
finds new rows that were inserted into a table by other transactions since its prior read?",Q10-7,,,Which of the following problems occurs when a transaction re-reads a table and finds new rows that were inserted into a table by other transactions since its prior read?,2
204,"For the two-phase locking protocol, which of the following statements is true?",Q10-6,,,"For the two-phase locking protocol, which of the following statements is true?",2
203,"What operation(s) can a transaction perform if this transaction acquires an exclusive
lock?",Q10-5,,,What operation(s) can a transaction perform if this transaction acquires an exclusive lock?,2
202,What is the correctness criterion for concurrent transactions?,Q10-4,,,What is the correctness criterion for concurrent transactions?,1
201,Which transaction isolation level does not allow dirty reads but does allow unrepeatable reads and phantom reads?,Q10-3,,,Which transaction isolation level does not allow dirty reads but does allow unrepeatable reads and phantom reads?,1
200,"Given two transactions <img src=""http://latex.codecogs.com/gif.latex? T_{1}"" border=""0""/> and <img src=""http://latex.codecogs.com/gif.latex? T_{2}"" border=""0""/> , which of the following statements is true?",Q10-2,,,"Given two transactions and , which of the following statements is true?",2
199,"Which of the following is responsible for ensuring the property isolation of database
transactions?",Q10-1,,,Which of the following is responsible for ensuring the property isolation of database transactions?,1
198,"An internet banking system requires a user to enter their password, then the system
sends an SMS to the user’s registered mobile phone, containing another sequence of
characters, and the user must enter this as well. Which of the following terms describes
this example of authentication?",Q9-20,,,"An internet banking system requires a user to enter their password, then the system sends an SMS to the user’s registered mobile phone, containing another sequence of characters, and the user must enter this as well. Which of the following terms describes this example of authentication?",1
197,What is a covert channel?,Q9-19,,,What is a covert channel?,1
196,Which of the following is not true regarding Trojan horse attacks?,Q9-18,,,Which of the following is not true regarding Trojan horse attacks?,2
195,"Which Bell-LaPadula rule prevents lower-level subjects from retrieving information
from objects with a higher security level?",Q9-17,,,Which Bell-LaPadula rule prevents lower-level subjects from retrieving information from objects with a higher security level?,2
194,"What is the objective of database security which says that people shouldn’t change
data unless they are supposed to change it, and they also shouldn’t change data in ways
different from how they are supposed to change it.",Q9-16,,,"What is the objective of database security which says that people shouldn’t change data unless they are supposed to change it, and they also shouldn’t change data in ways different from how they are supposed to change it.",1
193,"Assuming that Linda is the owner of the relation Event, after completing the following
three actions, which of the following statements is correct?<br>
Step | By | Action<br>
1 | Linda| GRANT select TO Amy, Peter ON Event WITH GRANT OPTION;<br>
2 |Amy| GRANT select TO Peter ON Event;<br>
3 |Linda| REVOKE select ON Event FROM Amy CASCADE;<br>",Q9-15,,,"Assuming that Linda is the owner of the relation Event, after completing the following three actions, which of the following statements is correct? Step | By | Action 1 | Linda| GRANT select TO Amy, Peter ON Event WITH GRANT OPTION; 2 |Amy| GRANT select TO Peter ON Event; 3 |Linda| REVOKE select ON Event FROM Amy CASCADE;",3
192,"Assuming that Linda is the owner of the relation Event, after completing the following
three actions, which of the following statements is correct?<br>
Step | By | Action<br>
1 | Linda| GRANT select TO Amy ON Event WITH GRANT OPTION;<br>
2 |Amy| GRANT select TO Peter ON Event;<br>
3 |Linda| REVOKE GRANT OPTION FOR select ON Event FROM Amy CASCADE;<br>
",Q9-14,,,"Assuming that Linda is the owner of the relation Event, after completing the following three actions, which of the following statements is correct? Step | By | Action 1 | Linda| GRANT select TO Amy ON Event WITH GRANT OPTION; 2 |Amy| GRANT select TO Peter ON Event; 3 |Linda| REVOKE GRANT OPTION FOR select ON Event FROM Amy CASCADE;",3
191,What is an authentication method?,Q9-13,,,What is an authentication method?,1
190,"You work as a database administrator at ToyWorld. They manage database security using a Role Based Access Control (RBAC) model. There are three types of resources, including files, printers, and mailboxes, and four departments with distinct functions: Sales, Marketing, Management, and Production in ToyWorld. Each department needs access to different resources. Each user has a workstation. Which roles should you create to support this RBAC model?",Q9-12,,,"You work as a database administrator at ToyWorld. They manage database security using a Role Based Access Control (RBAC) model. There are three types of resources, including files, printers, and mailboxes, and four departments with distinct functions: Sales, Marketing, Management, and Production in ToyWorld. Each department needs access to different resources. Each user has a workstation. Which roles should you create to support this RBAC model?",1
189,Which of the following can potentially cause a SQL injection attack?,Q9-11,,,Which of the following can potentially cause a SQL injection attack?,3
188,Which of the following are used to make access decisions in Mandatory Access Control (MAC)?,Q9-10,,,Which of the following are used to make access decisions in Mandatory Access Control (MAC)?,1
187,Which of the following is an inherent flaw in Discretionary Access Control (DAC)?,Q9-9,,,Which of the following is an inherent flaw in Discretionary Access Control (DAC)?,2
186,"For Discretionary Access Control (DAC), which of the following statements is true?",Q9-8,,,"For Discretionary Access Control (DAC), which of the following statements is true?",2
185,Which of the following is true regarding views?,Q9-7,,,Which of the following is true regarding views?,3
184,Which of the following is used to avoid cascading of revoking privileges?,Q9-6,,,Which of the following is used to avoid cascading of revoking privileges?,1
183,Which of the following statements are not correct?,Q9-5,,,Which of the following statements are not correct?,2
182,Which of the following is a characteristic of Mandatory Access Control (MAC)?,Q9-4,,,Which of the following is a characteristic of Mandatory Access Control (MAC)?,1
181,"If we wish to grant a privilege to a user and also allow the user to pass the privilege on to other users, which of the following should we append to the appropriate grant command?",Q9-3,,,"If we wish to grant a privilege to a user and also allow the user to pass the privilege on to other users, which of the following should we append to the appropriate grant command?",1
180,Which technology is not used to enforce confidentiality of database security?,Q9-2,,,Which technology is not used to enforce confidentiality of database security?,1
179,"In SQL, which of the following cannot be granted privileges using the GRANT command?",Q9-1,,,"In SQL, which of the following cannot be granted privileges using the GRANT command?",1
178,"Consider the following database schema:<br> 
<br> 
Movie(title, production year, country, run time, major genre)<br> 
primary key : {title, production year}<br> 
<br> 
Person(id, first name, last name, year born)<br> 
primary key : {id}<br> 
<br> 
Director(id, title, production year)<br> 
primary key : {title, production year}<br> 
foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id]<br> 
<br> 
Writer(id, title, production year, credits)<br> 
primary key : {id, title, production year}<br> 
foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id]<br> 
<br>
Which of the following RAs output the titles and production years of the movies which were written by writers born after 1980?<br>
<br>
A: <img src=""http://latex.codecogs.com/gif.latex?\bf \large \color{red} {\pi_{title,production year}(Writer\bowtie (\sigma_{year born>1980}(Person))) }"" border=""0""/><br>
B: <img src=""http://latex.codecogs.com/gif.latex?\bf \large \color{red} {\pi_{title,production year}(\pi_{title,production year}(Writer)\bowtie (\sigma_{year born>1980}(Person))) }"" border=""0""/>",Q8-16,,,"Consider the following database schema: Movie(title, production year, country, run time, major genre) primary key : {title, production year} Person(id, first name, last name, year born) primary key : {id} Director(id, title, production year) primary key : {title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Writer(id, title, production year, credits) primary key : {id, title, production year} foreign keys : [title, production year] ⊆ Movie[title, production year], [id] ⊆ Person[id] Which of the following RAs output the titles and production years of the movies which were written by writers born after 1980? A: 1980}(Person))) }"" border=""0""/> B: 1980}(Person))) }"" border=""0""/>",3
