question_id,difficulty,discrimination,difficulty_category,distcrimination_category
86,-2.6661148,0.5732919,very easy,low
87,-1.5528362,0.32073432,easy,none
91,-1.5941471,0.48920015,easy,low
92,-0.9186158,0.55095243,easy,low
93,-1.3290417,0.41748562,easy,low
94,-2.8760395,0.59790117,very easy,low
95,-2.6968915,0.7833299,very easy,moderate
96,-3.22489,0.8097294,very easy,moderate
97,-1.5596826,0.3286923,easy,none
98,1.1983029,0.26764116,hard,none
99,-0.95088196,0.8609348,easy,moderate
100,-1.4920992,0.51734257,easy,low
101,-1.197366,0.7774815,easy,moderate
102,-1.5922053,0.28325394,easy,none
103,-0.54261327,0.22413678,easy,none
104,-1.7157519,0.34738764,easy,none
105,-1.8559698,0.9561706,easy,moderate
106,-2.03361,0.27649695,very easy,none
107,-1.4314643,0.29168516,easy,none
108,-1.9026098,0.49540427,easy,low
109,-2.2822237,0.55149144,very easy,low
110,-2.8335736,0.68100345,very easy,moderate
111,-3.031905,0.7749028,very easy,moderate
112,-2.9829707,0.75915766,very easy,moderate
113,-2.137154,0.72174925,very easy,moderate
114,-2.7245529,1.1028363,very easy,moderate
115,-2.3834178,0.8766115,very easy,moderate
116,-1.780515,0.36792883,easy,low
117,-0.8917242,0.2556106,easy,none
118,-2.5437646,0.39493394,very easy,low
119,0.47237664,0.2588228,medium,none
120,-1.6081386,0.26980117,easy,none
121,-0.34356293,0.17074478,medium,none
122,-2.3230324,0.71510684,very easy,moderate
123,-0.6092485,0.58347577,easy,low
124,-2.0449646,0.32881576,very easy,none
125,-2.7075431,0.7924163,very easy,moderate
126,-2.8090155,0.9045486,very easy,moderate
127,-2.2715354,0.45056522,very easy,low
128,-2.6051753,0.83579445,very easy,moderate
129,-2.069568,0.30585796,very easy,none
130,-0.7597307,0.53866196,easy,low
131,-1.1550031,0.20391916,easy,none
132,0.5726031,0.32091874,hard,none
133,-2.9174287,0.5024594,very easy,low
134,-1.4094932,0.50199133,easy,low
135,-1.5407689,0.35805848,easy,low
136,0.33544463,0.2645529,medium,none
137,-0.34102008,0.24735674,medium,none
138,0.5820842,0.81365716,hard,moderate
139,-1.299038,0.68007654,easy,moderate
140,-1.5222911,1.2432058,easy,moderate
141,-2.8057387,0.73160213,very easy,moderate
142,-2.183741,0.62125635,very easy,low
143,-0.9060734,0.09156678,easy,none
146,0.96885693,0.5936721,hard,low
147,-2.4121945,0.4842709,very easy,low
148,-3.13808,0.4265018,very easy,low
149,-2.419447,0.5238751,very easy,low
150,-1.4572668,0.33455276,easy,none
151,-1.931981,0.54363143,easy,low
152,-0.13256244,0.03106092,medium,none
153,-2.2722135,0.9575365,very easy,moderate
154,0.58246696,0.6674103,hard,moderate
155,-2.3129253,0.6691325,very easy,moderate
156,-1.6411872,0.60532653,easy,low
157,-1.5372216,0.58877605,easy,low
158,-3.4477003,0.952023,very easy,moderate
159,-0.8255665,0.34637192,easy,none
160,-0.76721656,0.3640616,easy,low
161,2.3195343,0.3096179,very hard,none
162,1.1125207,0.16460015,hard,none
163,-1.6459695,1.1836748,easy,moderate
164,-2.095107,0.6479713,very easy,low
165,-2.2182136,0.51682824,very easy,low
166,0.6327082,0.49827313,hard,low
167,-2.96858,0.50532484,very easy,low
168,0.47913873,0.11859658,medium,none
169,-2.609756,0.5669536,very easy,low
170,3.5437434,0.75429934,very hard,moderate
171,0.2392758,0.27879673,medium,none
172,3.4883366,0.7696643,very hard,moderate
173,0.89134485,0.3374154,hard,none
174,0.11955921,0.39120454,medium,low
175,-0.71220124,0.49023327,easy,low
176,-2.331838,0.37571222,very easy,low
177,-1.7447069,0.4521935,easy,low
178,-1.5973814,0.55445343,easy,low
179,3.9780715,0.25200653,very hard,none
180,-0.42599675,0.20340545,medium,none
181,-2.2908967,0.5161764,very easy,low
182,-1.0359689,0.5809165,easy,low
183,1.32817,0.20773691,hard,none
184,-0.53628457,0.12295478,easy,none
185,1.4615135,0.26268834,hard,none
186,1.3393396,0.11924131,hard,none
187,0.6090872,0.06550373,hard,none
188,-1.9483902,0.7088229,easy,moderate
189,2.030074,0.34109905,very hard,none
190,-1.2070938,0.28814864,easy,none
191,1.8159788,0.23777749,hard,none
192,2.090821,0.64118475,very hard,low
193,-0.6065303,0.19572856,easy,none
194,-2.4975421,0.33191416,very easy,none
195,-1.1216004,0.28417015,easy,none
196,1.2762586,0.2452885,hard,none
197,0.877645,0.7810776,hard,moderate
198,-1.9049013,0.3193841,easy,none
199,-1.9834732,0.13057093,easy,none
200,-0.46393976,0.1525343,medium,none
201,-1.0305966,0.28759584,easy,none
202,1.6342007,0.19135748,hard,none
203,1.7234095,0.21729863,hard,none
204,0.46320477,0.26872006,medium,none
205,0.38718998,0.81541127,medium,moderate
206,-2.550698,0.65006787,very easy,moderate
207,-1.8323717,0.4091255,easy,low
208,-2.0608056,0.36066645,very easy,low
209,0.15273711,0.14278105,medium,none
210,-2.1156893,0.45477054,very easy,low
211,-0.45271832,0.38287035,medium,low
212,-0.78519136,0.25299126,easy,none
213,-0.54129446,0.32841903,easy,none
214,2.241214,0.32058918,very hard,none
216,0.28709048,0.0603398,medium,none
217,-0.31778997,0.4203627,medium,low
218,-1.0181209,0.3750677,easy,low
219,-0.9491583,0.25067544,easy,none
